JD,Magnitude
2443378.0667,4.659
2443378.0806,4.579
2443378.9423,4.705
2443378.9562,4.744
2443378.9666,4.738
2443378.975,4.738
2443378.9875,4.714
2443378.9993,4.69
2443379.0083,4.642
2443379.0187,4.654
2443379.0291,4.657
2443379.0395,4.622
2443379.05,4.612
2443379.068,4.673
2443379.075,4.659
2443379.0812,4.665
2443379.0881,4.692
2445165.0167,4.631
2445165.0181,4.626
2445165.0208,4.624
2445165.0222,4.621
2445165.0236,4.618
2445165.025,4.609
2445165.0264,4.606
2445165.0278,4.604
2445165.0292,4.603
2445165.0306,4.603
2445165.0319,4.604
2445165.0347,4.613
2445165.0361,4.612
2445165.0375,4.613
2445165.0389,4.613
2445165.0486,4.633
2445165.05,4.633
2445165.0514,4.635
2445165.0528,4.637
2445165.0542,4.638
2445165.0569,4.648
2445165.0583,4.653
2445165.0597,4.655
2445165.0597,4.655
2445165.0681,4.673
2445165.0681,4.673
2445165.0694,4.676
2445165.0694,4.676
2445165.0708,4.679
2445165.0708,4.679
2445165.0722,4.683
2445165.0722,4.683
2445165.0736,4.682
2445165.0736,4.682
2445165.075,4.683
2445165.075,4.683
2445165.0764,4.685
2445165.0764,4.685
2445165.0778,4.685
2445165.0778,4.685
2445165.0792,4.686
2445165.0792,4.686
2445165.0924,4.728
2445165.0924,4.728
2445165.0938,4.73
2445165.0938,4.73
2445165.0951,4.73
2445165.0951,4.73
2445165.0965,4.729
2445165.0965,4.729
2445165.0979,4.734
2445165.0979,4.734
2445165.0993,4.737
2445165.0993,4.737
2445165.1118,4.758
2445165.1118,4.758
2445165.1132,4.757
2445165.1132,4.757
2445165.1146,4.762
2445165.1146,4.762
2445165.116,4.765
2445165.116,4.765
2445165.1174,4.766
2445165.1174,4.766
2445165.1188,4.772
2445165.1188,4.772
2445165.1201,4.774
2445165.1201,4.774
2445165.1215,4.775
2445165.1215,4.775
2445165.1229,4.775
2445165.1229,4.775
2445165.1375,4.761
2445165.1375,4.761
2445165.1389,4.759
2445165.1389,4.759
2445165.1403,4.758
2445165.1403,4.758
2445165.1417,4.756
2445165.1417,4.756
2445165.1431,4.757
2445165.1431,4.757
2445165.1444,4.758
2445165.1444,4.758
2445165.1458,4.755
2445165.1458,4.755
2445165.1472,4.753
2445165.1472,4.753
2445165.1563,4.738
2445165.1563,4.738
2445165.1576,4.735
2445165.1576,4.735
2445165.159,4.731
2445165.159,4.731
2445165.1708,4.675
2445165.1708,4.675
2445165.1722,4.675
2445165.1722,4.675
2445165.1736,4.675
2445165.1736,4.675
2445165.175,4.671
2445165.175,4.671
2445168.0104,4.747
2445168.0104,4.747
2445168.0118,4.744
2445168.0118,4.744
2445168.0132,4.74
2445168.0132,4.74
2445168.0146,4.737
2445168.0146,4.737
2445168.016,4.734
2445168.016,4.734
2445168.0174,4.731
2445168.0174,4.731
2445168.0188,4.728
2445168.0188,4.728
2445168.0215,4.725
2445168.0215,4.725
2445168.0229,4.721
2445168.0229,4.721
2445168.0243,4.72
2445168.0243,4.72
2445168.0257,4.718
2445168.0257,4.718
2445168.0271,4.715
2445168.0271,4.715
2445168.0361,4.73
2445168.0361,4.73
2445168.0375,4.73
2445168.0375,4.73
2445168.0389,4.728
2445168.0389,4.728
2445168.0403,4.727
2445168.0403,4.727
2445168.0417,4.726
2445168.0417,4.726
2445168.0431,4.723
2445168.0431,4.723
2445168.0444,4.722
2445168.0444,4.722
2445168.0458,4.719
2445168.0458,4.719
2445168.0472,4.718
2445168.0472,4.718
2445168.0486,4.717
2445168.0486,4.717
2445168.05,4.712
2445168.05,4.712
2445168.0514,4.71
2445168.0514,4.71
2445168.0625,4.71
2445168.0625,4.71
2445168.0639,4.711
2445168.0639,4.711
2445168.0653,4.707
2445168.0653,4.707
2445168.0681,4.684
2445168.0681,4.684
2445168.0694,4.679
2445168.0694,4.679
2445168.0708,4.676
2445168.0708,4.676
2445168.0736,4.683
2445168.0736,4.683
2445168.0757,4.68
2445168.0757,4.68
2445168.0771,4.671
2445168.0771,4.671
2445168.0785,4.663
2445168.0785,4.663
2445168.0868,4.652
2445168.0868,4.652
2445168.0882,4.655
2445168.0882,4.655
2445168.0903,4.662
2445168.0903,4.662
2445168.0917,4.664
2445168.0917,4.664
2445168.0951,4.678
2445168.0951,4.678
2445168.1042,4.651
2445168.1042,4.651
2445168.1056,4.649
2445168.1056,4.649
2445168.1069,4.647
2445168.1069,4.647
2445168.1083,4.645
2445168.1083,4.645
2445168.1111,4.635
2445168.1111,4.635
2445168.1125,4.637
2445168.1125,4.637
2445168.1222,4.657
2445168.1222,4.657
2445168.1236,4.657
2445168.1236,4.657
2445168.125,4.659
2445168.125,4.659
2445168.1264,4.663
2445168.1264,4.663
2445168.1285,4.665
2445168.1285,4.665
2445168.1299,4.667
2445168.1299,4.667
2445168.1313,4.67
2445168.1313,4.67
2445168.1333,4.676
2445168.1333,4.676
2445168.1347,4.676
2445168.1347,4.676
2445168.1361,4.677
2445168.1361,4.677
2445168.1465,4.69
2445168.1465,4.69
2445168.1479,4.692
2445168.1479,4.692
2445168.1493,4.696
2445168.1493,4.696
2445168.1507,4.698
2445168.1507,4.698
2445168.1535,4.703
2445168.1535,4.703
2445168.1549,4.706
2445168.1549,4.706
2445168.1563,4.709
2445168.1563,4.709
2445168.1576,4.712
2445168.1576,4.712
2445168.1597,4.718
2445168.1597,4.718
2445168.1688,4.707
2445168.1688,4.707
2445168.1701,4.712
2445168.1701,4.712
2445168.1715,4.714
2445168.1715,4.714
2445168.1736,4.715
2445168.1736,4.715
2445168.175,4.716
2445168.175,4.716
2445168.1826,4.721
2445168.1826,4.721
2445168.184,4.719
2445168.184,4.719
2445168.1854,4.716
2445168.1854,4.716
2445168.1882,4.722
2445168.1882,4.722
2445168.1896,4.722
2445168.1896,4.722
2445168.191,4.726
2445168.191,4.726
2445168.1924,4.727
2445168.1924,4.727
2445168.1938,4.733
2445168.1938,4.733
2445168.1951,4.733
2445168.1951,4.733
2445168.1965,4.734
2445168.1965,4.734
2445168.2049,4.755
2445168.2049,4.755
2445168.2063,4.756
2445168.2063,4.756
2445168.2076,4.754
2445168.2076,4.754
2445168.2097,4.755
2445168.2097,4.755
2445168.2111,4.752
2445168.2111,4.752
2445168.2125,4.751
2445168.2125,4.751
